DateTime,Entries,UniqueIPs
1539302682,91,91
1539304586,88,88
1539306524,85,85
1539308416,85,85
1539310359,86,86
1539312281,85,85
1539314183,84,84
1539316117,83,83
1539318027,86,86
1539319963,85,85
1539323780,84,84
1539325714,83,83
1539327676,81,81
1539329559,79,79
1539331722,79,79
1539337458,78,78
1539341553,79,79
1539343451,80,80
1539345388,81,81
1539347288,81,81
1539349310,83,83
1539351392,81,81
1539353432,84,84
1539355484,84,84
1539357395,83,83
1539359303,83,83
1539361240,83,83
1539363151,82,82
1539365062,80,80
1539368907,80,80
1539370879,80,80
1539372750,81,81
1539374708,80,80
1539376582,79,79
1539378523,78,78
1539380425,80,80
1539382353,80,80
1539384796,80,80
1539386935,75,75
1539392663,76,76
1539394602,75,75
1539396560,72,72
1539400337,74,74
1539404189,73,73
1539406096,72,72
1539408036,72,72
1539411890,73,73
1539413798,72,72
1539415691,71,71
1539417691,70,70
1539419570,70,70
1539421469,69,69
1539423373,72,72
1539425325,73,73
1539427242,74,74
1539429145,75,75
1539431080,74,74
1539433012,75,75
1539434896,72,72
1539436829,72,72
1539440778,73,73
1539442582,74,74
1539444763,75,75
1539446671,77,77
1539448605,77,77
1539452438,76,76
1539454359,77,77
1539456272,75,75
1539458204,76,76
1539460124,75,75
1539462014,75,75
1539463965,73,73
1539465876,72,72
1539467779,72,72
1539471675,73,73
1539475467,75,75
1539477400,74,74
1539479340,73,73
1539481235,72,72
1539483143,73,73
1539485076,73,73
1539487040,72,72
1539488896,71,71
1539492739,74,74
1539496615,75,75
1539498522,75,75
1539503301,73,73
1539505477,72,72
1539507371,71,71
1539509310,70,70
1539511304,70,70
1539513160,71,71
1539515083,70,70
1539516978,69,69
1539518926,68,68
1539520824,70,70
1539522763,69,69
1539524675,69,69
1539526603,72,72
1539528533,74,74
1539530416,76,76
1539534279,73,73
1539536171,73,73
1539538113,74,74
1539540071,74,74
1539541955,75,75
1539543881,77,77
1539545799,77,77
1539547720,75,75
1539549635,75,75
1539551556,76,76
1539553476,78,78
1539555401,78,78
1539559268,79,79
1539561197,78,78
1539563069,79,79
1539565002,81,81
1539570753,79,79
1539572689,82,82
1539574576,82,82
1539576501,83,83
1539578427,81,81
1539580348,80,80
1539582279,78,78
1539584191,77,77
1539586102,78,78
1539588016,79,79
1539589944,78,78
1539592113,76,76
1539594038,75,75
1539595954,73,73
1539597913,73,73
1539599789,72,72
1539605551,71,71
1539607479,71,71
1539609391,72,72
1539613214,69,69
1539615239,66,66
1539617065,66,66
1539619259,67,67
1539621157,66,66
1539623069,68,68
1539624987,65,65
1539626921,67,67
1539629062,69,69
1539630989,68,68
1539634853,67,67
1539636998,66,66
1539640858,66,66
1539642761,68,68
1539644682,70,70
1539650481,68,68
1539652361,67,67
1539654273,67,67
1539658092,69,69
1539661953,67,67
1539663872,65,65
1539667695,66,66
1539669665,64,64
1539673476,64,64
1539675397,63,63
1539679231,64,64
1539683086,65,65
1539684986,65,65
1539686916,65,65
1539688825,67,67
1539690738,70,70
1539692682,69,69
1539694592,68,68
1539696503,68,68
1539698459,69,69
1539700345,72,72
