DateTime,Entries,UniqueIPs
1539846489,4877,4877
1539846968,4886,4886
1539847445,4884,4884
1539847929,4884,4884
1539848405,4883,4883
1539848887,4883,4883
1539849367,4885,4885
1539849849,4884,4884
1539850325,4885,4885
1539850811,4883,4883
1539851286,4887,4887
1539851766,4888,4888
1539852248,4886,4886
1539852739,4888,4888
1539853222,4889,4889
1539855612,4888,4888
1539856570,4888,4888
1539857050,4889,4889
1539863286,4888,4888
1539865686,4889,4889
1539870008,4888,4888
1539870966,4889,4889
1539878412,4888,4888
1539879126,4888,4888
1539879611,4889,4889
1539886087,4888,4888
1539887048,4889,4889
1539896166,4888,4888
1539896648,4889,4889
1539903846,4888,4888
1539904330,4889,4889
1539910569,4888,4888
1539911527,4883,4883
1539912006,4885,4885
1539912496,4882,4882
1539912968,4886,4886
1539913451,4884,4884
1539913928,4886,4886
1539914413,4886,4886
1539914890,4885,4885
1539915376,4884,4884
1539915848,4883,4883
1539916327,4882,4882
1539916805,4883,4883
1539917286,4880,4880
1539917766,4880,4880
1539918251,4878,4878
1539918726,4880,4880
1539919212,4878,4878
1539919688,4878,4878
1539920165,4881,4881
1539920645,4881,4881
1539921128,4879,4879
1539921653,4878,4878
1539922087,4881,4881
1539922566,4880,4880
1539923055,4878,4878
1539923528,4878,4878
1539924010,4877,4877
1539924485,4877,4877
1539924970,4880,4880
1539925447,4879,4879
1539925926,4880,4880
1539926408,4878,4878
1539927127,4877,4877
1539927846,4878,4878
1539928325,4874,4874
1539928813,4877,4877
1539929286,4875,4875
1539929770,4877,4877
1539930244,4876,4876
1539930727,4876,4876
1539931206,4876,4876
1539931690,4881,4881
1539932166,4893,4893
1539932647,4892,4892
1539933125,4892,4892
1539933619,4894,4894
1539934084,4896,4896
1539934578,4894,4894
1539935046,4895,4895
1539935529,4894,4894
1539936017,4890,4890
1539936488,4896,4896
1539936970,4895,4895
1539937445,4893,4893
1539937929,4893,4893
1539938405,4896,4896
1539939851,4897,4897
1539941288,4896,4896
1539941768,4897,4897
1539950888,4896,4896
1539951858,4897,4897
1539958091,4896,4896
1539958566,4897,4897
1539963365,4896,4896
1539963847,4897,4897
1539972965,4896,4896
1539974406,4896,4896
1539974895,4897,4897
1539981609,4896,4896
1539982567,4897,4897
1539997928,4886,4886
1539998411,4893,4893
1539998888,4889,4889
1539999367,4889,4889
1539999844,4890,4890
1540000330,4890,4890
1540000808,4893,4893
1540001291,4894,4894
1540001766,4891,4891
1540002245,4892,4892
1540002727,4890,4890
1540003207,4892,4892
1540003688,4891,4891
1540004168,4888,4888
1540004646,4887,4887
1540005129,4891,4891
1540005604,4887,4887
1540006087,4886,4886
1540006564,4890,4890
1540007047,4889,4889
1540007525,4883,4883
1540008018,4889,4889
1540008487,4889,4889
1540009209,4887,4887
1540009929,4888,4888
1540010405,4887,4887
1540010884,4889,4889
1540011365,4888,4888
1540011847,4890,4890
1540012325,4887,4887
1540012809,4886,4886
1540013285,4892,4892
1540014007,4886,4886
1540014725,4885,4885
1540015211,4883,4883
1540015685,4884,4884
1540016169,4887,4887
1540016644,4883,4883
1540017135,4885,4885
1540017606,4888,4888
1540018084,4877,4877
1540018817,4887,4887
1540019526,4887,4887
1540020008,4889,4889
1540020485,4883,4883
1540020966,4887,4887
1540021448,4884,4884
1540021925,4883,4883
1540022412,4886,4886
1540022889,4878,4878
1540023369,4880,4880
1540023845,4882,4882
1540024330,4885,4885
1540024814,4887,4887
1540025290,4888,4888
1540027205,4887,4887
1540027689,4888,4888
1540033925,4887,4887
1540034407,4887,4887
1540035129,4888,4888
1540042087,4887,4887
1540042566,4888,4888
1540049767,4887,4887
1540050729,4888,4888
1540056967,4887,4887
1540057929,4888,4888
1540064165,4887,4887
1540065618,4888,4888
1540080020,4887,4887
1540080967,4888,4888
1540083847,4881,4881
1540084327,4884,4884
1540084809,4887,4887
1540085285,4884,4884
1540085765,4885,4885
1540086251,4884,4884
1540086730,4883,4883
1540087223,4882,4882
1540087686,4885,4885
1540088171,4883,4883
1540088644,4884,4884
1540089130,4885,4885
1540089608,4890,4890
1540090087,4883,4883
1540090567,4885,4885
1540091047,4884,4884
1540091528,4884,4884
1540092012,4881,4881
1540092485,4885,4885
1540092969,4880,4880
1540093446,4881,4881
1540093928,4880,4880
1540094412,4886,4886
1540094886,4881,4881
1540095368,4887,4887
1540095848,4884,4884
1540096328,4882,4882
1540096805,4883,4883
1540097528,4884,4884
1540098249,4881,4881
1540098727,4883,4883
1540099207,4881,4881
1540099689,4882,4882
1540100169,4884,4884
1540100646,4883,4883
1540101127,4875,4875
1540101633,4885,4885
1540102086,4884,4884
1540102567,4881,4881
1540103044,4880,4880
1540103531,4880,4880
1540104006,4885,4885
1540104487,4878,4878
1540105213,4876,4876
1540105689,4883,4883
1540106411,4883,4883
1540106885,4882,4882
1540107366,4882,4882
1540107847,4881,4881
1540108331,4882,4882
1540108819,4877,4877
1540109286,4878,4878
1540109777,4881,4881
1540110245,4883,4883
1540110729,4887,4887
1540111204,4886,4886
1540111686,4888,4888
1540112169,4886,4886
1540112650,4888,4888
1540115527,4887,4887
1540117207,4888,4888
1540124889,4887,4887
1540125366,4888,4888
1540133046,4887,4887
1540134012,4888,4888
1540142167,4887,4887
1540143612,4888,4888
1540158484,4887,4887
1540158968,4887,4887
1540159448,4888,4888
1540170488,4881,4881
1540170969,4880,4880
1540171445,4882,4882
1540171927,4882,4882
1540172406,4881,4881
1540172889,4876,4876
1540173369,4882,4882
1540173847,4876,4876
1540174327,4882,4882
1540174804,4882,4882
1540175289,4884,4884
1540175767,4882,4882
1540176247,4882,4882
1540176728,4884,4884
1540177230,4881,4881
1540177687,4883,4883
1540178168,4887,4887
1540178644,4886,4886
1540179128,4886,4886
1540179605,4888,4888
1540180097,4885,4885
1540180566,4889,4889
1540181059,4884,4884
1540181526,4885,4885
1540182011,4889,4889
1540182490,4892,4892
1540182969,4891,4891
1540183445,4887,4887
1540183927,4888,4888
1540184417,4890,4890
1540184886,4889,4889
1540185367,4885,4885
1540185858,4888,4888
1540186330,4891,4891
1540186805,4889,4889
1540187287,4891,4891
1540187768,4894,4894
1540188247,4889,4889
1540188727,4885,4885
1540189208,4887,4887
1540189689,4884,4884
1540190166,4889,4889
1540190649,4887,4887
1540191128,4891,4891
1540191611,4892,4892
1540192088,4893,4893
1540192574,4887,4887
1540193046,4887,4887
1540193529,4889,4889
1540194005,4889,4889
1540194486,4889,4889
1540194965,4889,4889
1540195447,4888,4888
1540195926,4889,4889
1540196417,4895,4895
1540196888,4895,4895
1540197367,4894,4894
1540197845,4899,4899
1540198331,4898,4898
1540207208,4897,4897
1540207684,4898,4898
1540216326,4897,4897
1540217287,4898,4898
1540224027,4897,4897
1540224968,4898,4898
1540234084,4897,4897
1540235528,4898,4898
1540241767,4897,4897
1540242728,4898,4898
1540256885,4889,4889
1540257367,4891,4891
1540257845,4896,4896
1540258328,4891,4891
1540258805,4893,4893
1540259285,4890,4890
1540259765,4891,4891
1540260250,4890,4890
1540260725,4890,4890
1540261204,4893,4893
1540261688,4890,4890
1540262166,4893,4893
1540262644,4891,4891
1540263130,4892,4892
1540263610,4896,4896
1540264087,4890,4890
1540264590,4887,4887
1540265048,4891,4891
1540265528,4894,4894
1540266007,4890,4890
1540266484,4892,4892
1540266967,4891,4891
1540267453,4889,4889
1540267926,4892,4892
1540268406,4893,4893
1540269127,4888,4888
1540269845,4893,4893
1540270327,4891,4891
1540270811,4892,4892
1540271293,4889,4889
1540271770,4891,4891
1540272245,4888,4888
1540272728,4888,4888
1540273212,4886,4886
1540273689,4886,4886
1540274166,4887,4887
1540274647,4889,4889
1540275137,4891,4891
1540275608,4892,4892
1540276095,4890,4890
1540276569,4888,4888
1540277057,4882,4882
1540278255,4887,4887
1540278970,4891,4891
1540279445,4886,4886
1540279925,4888,4888
1540280408,4888,4888
1540280888,4883,4883
1540281365,4885,4885
1540282099,4881,4881
1540282568,4885,4885
1540283046,4886,4886
1540283528,4885,4885
1540284017,4889,4889
1540284485,4889,4889
1540285449,4887,4887
1540286410,4886,4886
1540286888,4887,4887
1540294568,4886,4886
1540295529,4887,4887
1540307530,4886,4886
1540308487,4887,4887
1540323610,4886,4886
1540324565,4886,4886
1540325047,4887,4887
1540325530,4886,4886
1540326005,4887,4887
1540341368,4886,4886
1540342825,4885,4885
1540343287,4880,4880
1540343766,4880,4880
1540344245,4884,4884
1540344731,4885,4885
1540345447,4881,4881
1540345925,4884,4884
1540346451,4881,4881
1540346890,4880,4880
1540347367,4881,4881
1540347846,4879,4879
1540348324,4884,4884
1540348806,4883,4883
1540349286,4883,4883
1540349765,4885,4885
1540350250,4881,4881
1540350726,4881,4881
1540351204,4878,4878
1540351929,4881,4881
1540352653,4878,4878
1540353124,4878,4878
1540353617,4882,4882
1540354087,4878,4878
1540354570,4880,4880
1540355054,4877,4877
1540355527,4876,4876
1540356012,4881,4881
1540356492,4879,4879
1540356966,4880,4880
1540357450,4885,4885
1540357927,4882,4882
1540358895,4883,4883
1540359609,4884,4884
1540360087,4882,4882
1540360567,4882,4882
1540361052,4881,4881
1540361527,4882,4882
1540362012,4881,4881
1540362489,4885,4885
1540362968,4884,4884
1540363445,4882,4882
1540363930,4868,4868
1540364650,4882,4882
1540365127,4881,4881
1540365604,4880,4880
1540366088,4882,4882
1540366565,4884,4884
1540367046,4880,4880
1540367528,4882,4882
1540368248,4885,4885
1540368728,4884,4884
1540369211,4883,4883
1540369688,4887,4887
1540370166,4887,4887
1540370645,4889,4889
1540371130,4888,4888
1540383606,4887,4887
1540384807,4888,4888
1540397770,4887,4887
1540398728,4887,4887
1540399204,4888,4888
1540409765,4887,4887
1540410726,4888,4888
1540429927,4881,4881
1540430404,4883,4883
1540430887,4875,4875
1540431615,4876,4876
1540432325,4874,4874
1540432829,4875,4875
1540433286,4869,4869
1540433770,4872,4872
1540434244,4878,4878
1540434729,4881,4881
1540435204,4882,4882
1540435937,4885,4885
1540436648,4886,4886
1540437127,4880,4880
1540437608,4882,4882
1540438084,4881,4881
1540438565,4882,4882
1540439044,4881,4881
1540439528,4881,4881
1540440015,4883,4883
1540440563,4886,4886
1540440974,4886,4886
1540441447,4884,4884
1540441928,4880,4880
1540442405,4883,4883
1540442898,4881,4881
1540443618,4879,4879
1540444327,4876,4876
1540444806,4881,4881
1540445289,4878,4878
1540446012,4883,4883
1540446490,4876,4876
1540446965,4874,4874
1540447451,4880,4880
1540447928,4880,4880
1540448406,4880,4880
1540448889,4878,4878
1540449367,4880,4880
1540449848,4878,4878
1540450328,4877,4877
1540450820,4879,4879
1540451288,4879,4879
1540451771,4877,4877
1540452245,4882,4882
1540452729,4882,4882
1540453205,4884,4884
1540453687,4881,4881
1540454169,4881,4881
1540454648,4881,4881
1540455125,4884,4884
1540455613,4884,4884
1540456085,4881,4881
1540456566,4882,4882
1540457045,4881,4881
1540457531,4882,4882
1540458018,4882,4882
1540458487,4882,4882
1540458968,4884,4884
